District,Thana,EIIN,College Name,Shift,Version,Group Name,Gender,Min GPA,Own GPA,Available Seat
Barguna,Amtali,100112,Amtali Govt. College,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,150
Barguna,Amtali,100112,Amtali Govt. College,Day,Bangla,Humanities,Co-Edu,2.50,0.00,150
Barguna,Amtali,100112,Amtali Govt. College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
Barguna,Amtali,100113,Bakulnessa Mohilla College,Day,Bangla,Business Studies,Female,2.50,0.00,150
Barguna,Amtali,100113,Bakulnessa Mohilla College,Day,Bangla,Islamic Studies,Female,2.50,0.00,150
Barguna,Amtali,100113,Bakulnessa Mohilla College,Day,Bangla,Humanities,Female,1.00,0.00,150
Barguna,Amtali,100113,Bakulnessa Mohilla College,Day,Bangla,Science,Female,2.50,0.00,150
Barguna,Amtali,134876,Dr. Md. Sahidul Islam College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Amtali,134876,Dr. Md. Sahidul Islam College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Amtali,134876,Dr. Md. Sahidul Islam College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barguna,Amtali,100111,Eunus Ali Khan College,Day,Bangla,Islamic Studies,Co-Edu,2.00,0.00,150
Barguna,Amtali,100111,Eunus Ali Khan College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Amtali,100111,Eunus Ali Khan College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barguna,Amtali,100111,Eunus Ali Khan College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Amtali,139674,NAYAVAIZORA ADORSHO COLLEGE,Day,Bangla,Humanities,Co-Edu,1.00,0.00,120
Barguna,Amtali,139674,NAYAVAIZORA ADORSHO COLLEGE,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,120
Barguna,Amtali,139674,NAYAVAIZORA ADORSHO COLLEGE,Day,Bangla,Science,Co-Edu,2.00,0.00,80
Barguna,Amtali,100110,Taltali Govt. College,Day,Bangla,Humanities,Co-Edu,2.50,0.00,150
Barguna,Amtali,100110,Taltali Govt. College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
Barguna,Amtali,100110,Taltali Govt. College,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,150
Barguna,Amtali,100115,Tiakhali College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Amtali,100115,Tiakhali College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Amtali,100116,Uttar Sonakhali Higher Secondary School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Amtali,100116,Uttar Sonakhali Higher Secondary School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Bamna,100142,Begum Faizun Nessa Mohila College,Day,Bangla,Business Studies,Female,2.00,0.00,150
Barguna,Bamna,100142,Begum Faizun Nessa Mohila College,Day,Bangla,Science,Female,2.00,0.00,150
Barguna,Bamna,100142,Begum Faizun Nessa Mohila College,Day,Bangla,Humanities,Female,1.00,0.00,200
Barguna,Bamna,100143,Govt. Bamna College,Day,Bangla,Humanities,Co-Edu,2.50,0.00,150
Barguna,Bamna,100143,Govt. Bamna College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
Barguna,Bamna,100143,Govt. Bamna College,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,150
Barguna,Bamna,100118,Govt.Bamna Sarwarjan Model School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Bamna,100118,Govt.Bamna Sarwarjan Model School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Bamna,100141,Halta Dauyatala Wazed Ali Khan College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
,,,,,,,,,,
