"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","Available Seat"
"Bandarban","Alikadam","138430","ALIKADAM CANTONMENT PUBLIC SCHOOL AND COLLEGE","Day","Bangla","Business Studies","Co-Edu","3.11","2.06","100"
"Bandarban","Alikadam","138430","ALIKADAM CANTONMENT PUBLIC SCHOOL AND COLLEGE","Day","Bangla","Science","Co-Edu","3.22","3.22","100"
"Bandarban","Alikadam","138430","ALIKADAM CANTONMENT PUBLIC SCHOOL AND COLLEGE","Day","Bangla","Humanities","Co-Edu","1.72","1.72","180"
"Bandarban","Bandarban Sadar","133211","Bandarban Cantonment Public School And College","Day","Bangla","Science","Co-Edu","4.00","4.00","240"
"Bandarban","Bandarban Sadar","133211","Bandarban Cantonment Public School And College","Day","Bangla","Humanities","Co-Edu","2.75","2.75","120"
"Bandarban","Bandarban Sadar","133211","Bandarban Cantonment Public School And College","Day","Bangla","Business Studies","Co-Edu","3.00","3.00","120"
"Bandarban","Bandarban Sadar","134609","Bandarban Collectorate School And College","Day","Bangla","Science","Co-Edu","3.00","2.50","100"
"Bandarban","Bandarban Sadar","134609","Bandarban Collectorate School And College","Day","Bangla","Humanities","Co-Edu","2.50","2.00","150"
"Bandarban","Bandarban Sadar","134609","Bandarban Collectorate School And College","Day","Bangla","Business Studies","Co-Edu","2.75","2.00","100"
"Bandarban","Bandarban Sadar","103107","Bandarban Govt. College","Day","Bangla","Science","Co-Edu","3.50","0.00","280"
"Bandarban","Bandarban Sadar","103107","Bandarban Govt. College","Day","Bangla","Humanities","Co-Edu","2.75","0.00","600"
"Bandarban","Bandarban Sadar","103107","Bandarban Govt. College","Day","Bangla","Business Studies","Co-Edu","3.00","0.00","360"
"Bandarban","Bandarban Sadar","131933","Bandarban Govt. Mohila College","Day","Bangla","Business Studies","Female","2.25","0.00","200"
"Bandarban","Bandarban Sadar","131933","Bandarban Govt. Mohila College","Day","Bangla","Humanities","Female","2.25","0.00","320"
"Bandarban","Bandarban Sadar","131933","Bandarban Govt. Mohila College","Day","Bangla","Science","Female","3.00","0.00","150"
"Bandarban","Lama","103109","Chambi High School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Bandarban","Lama","103109","Chambi High School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","100"
"Bandarban","Lama","138016","Hefazatur Rahman College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","100"
"Bandarban","Lama","138016","Hefazatur Rahman College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","100"
"Bandarban","Lama","103125","Matamuhuri College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","300"
"Bandarban","Lama","103125","Matamuhuri College","Day","Bangla","Science","Co-Edu","2.50","0.00","100"
"Bandarban","Lama","103125","Matamuhuri College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","600"
