"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","Available Seat"
"Brahmanbaria","Akhaura","138970","Akhaura Cambrian College","Day","Bangla","Science","Co-Edu","3.50","0.00","200"
"Brahmanbaria","Akhaura","138970","Akhaura Cambrian College","Day","Bangla","Business Studies","Co-Edu","3.50","0.00","150"
"Brahmanbaria","Akhaura","103169","Akhaura Shahid Smrity Govt. College","Day","Bangla","Humanities","Co-Edu","1.50","0.00","400"
"Brahmanbaria","Akhaura","103169","Akhaura Shahid Smrity Govt. College","Day","Bangla","Science","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Akhaura","103169","Akhaura Shahid Smrity Govt. College","Day","Bangla","Business Studies","Co-Edu","1.50","0.00","200"
"Brahmanbaria","Akhaura","103170","Chhatura Chandpur School And College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Akhaura","103170","Chhatura Chandpur School And College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Akhaura","138749","Jahanara Huq Mohila College","Day","Bangla","Business Studies","Female","1.00","1.00","150"
"Brahmanbaria","Akhaura","138749","Jahanara Huq Mohila College","Day","Bangla","Science","Female","1.00","1.00","150"
"Brahmanbaria","Akhaura","138749","Jahanara Huq Mohila College","Day","Bangla","Humanities","Female","1.00","1.00","300"
"Brahmanbaria","Ashuganj","139651","A. K. M DULAL DEGREE COLLEGE","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Ashuganj","139651","A. K. M DULAL DEGREE COLLEGE","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Ashuganj","139651","A. K. M DULAL DEGREE COLLEGE","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Ashuganj","131980","Abbas Uddin Khan Shohagpur Model College","Day","Bangla","Business Studies","Co-Edu","1.50","0.00","150"
"Brahmanbaria","Ashuganj","131980","Abbas Uddin Khan Shohagpur Model College","Day","Bangla","Science","Co-Edu","2.50","0.00","150"
"Brahmanbaria","Ashuganj","131980","Abbas Uddin Khan Shohagpur Model College","Day","Bangla","Humanities","Co-Edu","1.50","0.00","250"
"Brahmanbaria","Ashuganj","103312","Ashuganj Sar Karkhana College","Day","Bangla","Business Studies","Co-Edu","3.50","3.00","80"
"Brahmanbaria","Ashuganj","103312","Ashuganj Sar Karkhana College","Day","Bangla","Humanities","Co-Edu","3.00","2.50","80"
"Brahmanbaria","Ashuganj","103312","Ashuganj Sar Karkhana College","Day","Bangla","Science","Co-Edu","4.50","3.50","100"
"Brahmanbaria","Ashuganj","138798","BAGAIR MODEL SCHOOL AND COLLEGE","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Ashuganj","138798","BAGAIR MODEL SCHOOL AND COLLEGE","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Ashuganj","138798","BAGAIR MODEL SCHOOL AND COLLEGE","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Ashuganj","103295","Firoz Mia Govt. College","Day","Bangla","Science","Co-Edu","3.00","0.00","150"
