"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","SQ GPA","Available Seat"
"Dhaka (out side Mahanagari)","Dhamrai","139414","afaz uddin college","Day","Bangla","Business Studies","Co-Edu","2.50","0.00","0.00","150"
"Dhaka (out side Mahanagari)","Dhamrai","139414","afaz uddin college","Day","Bangla","Humanities","Co-Edu","2.50","0.00","0.00","350"
"Dhaka (out side Mahanagari)","Dhamrai","139414","afaz uddin college","Day","Bangla","Science","Co-Edu","4.00","0.00","0.00","210"
"Dhaka (out side Mahanagari)","Dhamrai","138055","amin model town college","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","0.00","100"
"Dhaka (out side Mahanagari)","Dhamrai","138055","amin model town college","Day","Bangla","Science","Co-Edu","2.00","0.00","0.00","75"
"Dhaka (out side Mahanagari)","Dhamrai","138055","amin model town college","Day","Bangla","Humanities","Co-Edu","1.00","0.00","0.00","200"
"Dhaka (out side Mahanagari)","Dhamrai","107955","bhalum ataur rahman khan college","Day","Bangla","Humanities","Co-Edu","2.75","0.00","0.00","400"
"Dhaka (out side Mahanagari)","Dhamrai","107955","bhalum ataur rahman khan college","Day","Bangla","Science","Co-Edu","3.50","0.00","0.00","75"
"Dhaka (out side Mahanagari)","Dhamrai","107955","bhalum ataur rahman khan college","Day","Bangla","Business Studies","Co-Edu","2.75","0.00","0.00","150"
"Dhaka (out side Mahanagari)","Dhamrai","107919","dhamrai hardinge high school and college","Day","Bangla","Humanities","Co-Edu","3.00","2.00","0.00","180"
"Dhaka (out side Mahanagari)","Dhamrai","107919","dhamrai hardinge high school and college","Day","Bangla","Business Studies","Co-Edu","3.00","2.00","0.00","150"
"Dhaka (out side Mahanagari)","Dhamrai","107919","dhamrai hardinge high school and college","Day","Bangla","Science","Co-Edu","4.00","3.00","0.00","150"
"Dhaka (out side Mahanagari)","Dhamrai","138809","dhamrai model college","Day","Bangla","Humanities","Co-Edu","1.00","0.00","0.00","350"
"Dhaka (out side Mahanagari)","Dhamrai","138809","dhamrai model college","Day","Bangla","Science","Co-Edu","1.00","0.00","0.00","75"
"Dhaka (out side Mahanagari)","Dhamrai","138809","dhamrai model college","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","0.00","100"
"Dhaka (out side Mahanagari)","Dhamrai","107953","govt. dhamrai college","Day","Bangla","Business Studies","Co-Edu","3.00","0.00","0.00","500"
"Dhaka (out side Mahanagari)","Dhamrai","107953","govt. dhamrai college","Day","Bangla","Science","Co-Edu","4.00","0.00","0.00","250"
"Dhaka (out side Mahanagari)","Dhamrai","107953","govt. dhamrai college","Day","Bangla","Humanities","Co-Edu","3.00","0.00","0.00","525"
"Dhaka (out side Mahanagari)","Dhamrai","107927","jadabpur b. m. school and college","Day","Bangla","Humanities","Co-Edu","1.00","1.00","0.00","150"
"Dhaka (out side Mahanagari)","Dhamrai","107927","jadabpur b. m. school and college","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","0.00","50"
"Dhaka (out side Mahanagari)","Dhamrai","107927","jadabpur b. m. school and college","Day","Bangla","Science","Co-Edu","1.00","1.00","0.00","50"
"Dhaka (out side Mahanagari)","Dhamrai","107954","nabajug college","Day","Bangla","Humanities","Co-Edu","2.00","0.00","0.00","250"
"Dhaka (out side Mahanagari)","Dhamrai","107954","nabajug college","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","0.00","60"
"","","","","","","","","","","",""
"Dhaka (out side Mahanagari)","Dhamrai","107954","nabajug college","Day","Bangla","Science","Co-Edu","2.50","0.00","0.00","50"
"Dhaka (out side Mahanagari)","Dhamrai","139546","prof. dr. m a mannan college","Day","Bangla","Science","Co-Edu","1.00","0.00","0.00","50"
"Dhaka (out side Mahanagari)","Dhamrai","139546","prof. dr. m a mannan college","Day","Bangla","Humanities","Co-Edu","1.00","0.00","0.00","50"
"Dhaka (out side Mahanagari)","Dhamrai","139546","prof. dr. m a mannan college","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","0.00","50"
"Dhaka (out side Mahanagari)","Dhamrai","136304","rajapur begum anowara girls college","Day","Bangla","Humanities","Female","2.00","0.00","0.00","125"
"Dhaka (out side Mahanagari)","Dhamrai","136304","rajapur begum anowara girls college","Day","Bangla","Business Studies","Female","2.00","0.00","0.00","50"
"Dhaka (out side Mahanagari)","Dhamrai","107924","suapur nannar school and college","Day","Bangla","Humanities","Co-Edu","1.00","1.00","0.00","100"
"Dhaka (out side Mahanagari)","Dhamrai","107924","suapur nannar school and college","Day","Bangla","Science","Co-Edu","1.00","1.00","0.00","60"
"Dhaka (out side Mahanagari)","Dhamrai","107924","suapur nannar school and college","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","0.00","50"
"Dhaka (out side Mahanagari)","Dohar","107994","begum ayesha pilot girls high school and college","Day","Bangla","Business Studies","Female","1.00","1.00","0.00","120"
"Dhaka (out side Mahanagari)","Dohar","107994","begum ayesha pilot girls high school and college","Day","Bangla","Humanities","Female","1.00","1.00","0.00","215"
"Dhaka (out side Mahanagari)","Dohar","108010","joypara college","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","0.00","450"
"Dhaka (out side Mahanagari)","Dohar","108010","joypara college","Day","Bangla","Humanities","Co-Edu","1.00","0.00","0.00","500"
"Dhaka (out side Mahanagari)","Dohar","108010","joypara college","Day","Bangla","Science","Co-Edu","1.00","0.00","0.00","60"
"Dhaka (out side Mahanagari)","Dohar","139221","kothabari college","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","0.00","50"
"Dhaka (out side Mahanagari)","Dohar","139221","kothabari college","Day","Bangla","Humanities","Co-Edu","1.00","0.00","0.00","100"
"Dhaka (out side Mahanagari)","Dohar","108011","malikanda meghula school and college","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","0.00","150"
"Dhaka (out side Mahanagari)","Dohar","108011","malikanda meghula school and college","Day","Bangla","Science","Co-Edu","2.00","1.00","0.00","50"
"Dhaka (out side Mahanagari)","Dohar","108011","malikanda meghula school and college","Day","Bangla","Humanities","Co-Edu","1.00","1.00","0.00","300"
"Dhaka (out side Mahanagari)","Dohar","108009","padma govt. college","Day","Bangla","Humanities","Co-Edu","2.50","0.00","0.00","400"
"Dhaka (out side Mahanagari)","Dohar","108009","padma govt. college","Day","Bangla","Business Studies","Co-Edu","2.50","0.00","0.00","300"
"Dhaka (out side Mahanagari)","Dohar","108009","padma govt. college","Day","Bangla","Science","Co-Edu","3.50","0.00","0.00","75"
