"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","Available Seat"
"Dinajpur","Biral","120136","Bejora School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120136","Bejora School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120136","Bejora School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120197","Birol Govt. College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","250"
"Dinajpur","Biral","120197","Birol Govt. College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","160"
"Dinajpur","Biral","120197","Birol Govt. College","Day","Bangla","Science","Co-Edu","1.00","1.00","260"
"Dinajpur","Biral","120201","Birol Women S College","Day","Bangla","Science","Female","1.00","1.00","150"
"Dinajpur","Biral","120201","Birol Women S College","Day","Bangla","Humanities","Female","1.00","1.00","175"
"Dinajpur","Biral","120201","Birol Women S College","Day","Bangla","Business Studies","Female","1.00","1.00","150"
"Dinajpur","Biral","120198","Board Hat College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120198","Board Hat College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","185"
"Dinajpur","Biral","120198","Board Hat College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120200","Dhukurjhari College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120200","Dhukurjhari College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120200","Dhukurjhari College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","200"
"Dinajpur","Biral","120142","Farakkabad N.I. School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120142","Farakkabad N.I. School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120142","Farakkabad N.I. School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120202","Jagatpur College  Dinajpur","Day","Bangla","Science","Co-Edu","2.00","1.00","150"
"Dinajpur","Biral","120202","Jagatpur College  Dinajpur","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120202","Jagatpur College  Dinajpur","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120203","Kanchan New Model College","Day","Bangla","Science","Co-Edu","2.00","1.00","150"
"Dinajpur","Biral","120203","Kanchan New Model College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120203","Kanchan New Model College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","120199","Mainul Hasan College","Day","Bangla","Humanities","Co-Edu","1.50","1.00","175"
"Dinajpur","Biral","120199","Mainul Hasan College","Day","Bangla","Business Studies","Co-Edu","1.50","1.00","150"
"Dinajpur","Biral","120199","Mainul Hasan College","Day","Bangla","Science","Co-Edu","2.00","1.00","150"
"Dinajpur","Biral","131991","Munshipara Adarsha College","Day","Bangla","Science","Co-Edu","2.50","1.00","150"
"Dinajpur","Biral","131991","Munshipara Adarsha College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","160"
"Dinajpur","Biral","131991","Munshipara Adarsha College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Biral","136142","Punarbhaba Technical And Business Management College","Day","Bangla","Science","Co-Edu","1.00","1.00","100"
"Dinajpur","Biral","136142","Punarbhaba Technical And Business Management College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Birampur","120019","Beparitola Adarsha College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"","","","","","","","","","",""
"Dinajpur","Birampur","120019","Beparitola Adarsha College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Birampur","120019","Beparitola Adarsha College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Birampur","120021","Birampur Govt. College","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","150"
"Dinajpur","Birampur","120021","Birampur Govt. College","Day","Bangla","Science","Co-Edu","3.00","1.00","150"
"Dinajpur","Birampur","120021","Birampur Govt. College","Day","Bangla","Humanities","Co-Edu","2.00","1.00","300"
"Dinajpur","Birampur","120022","Birampur Women S College","Day","Bangla","Business Studies","Female","2.50","1.00","150"
"Dinajpur","Birampur","120022","Birampur Women S College","Day","Bangla","Science","Female","3.00","1.00","150"
"Dinajpur","Birampur","120022","Birampur Women S College","Day","Bangla","Humanities","Female","2.00","1.00","200"
"Dinajpur","Birampur","120023","Katla College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Birampur","120023","Katla College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Birampur","120023","Katla College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Birampur","120020","Ketrahat College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Birampur","120020","Ketrahat College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Birampur","120020","Ketrahat College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","120127","Birganj Govt. College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","200"
"Dinajpur","Birganj","120127","Birganj Govt. College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","400"
"Dinajpur","Birganj","120127","Birganj Govt. College","Day","Bangla","Science","Co-Edu","1.00","1.00","200"
"Dinajpur","Birganj","120125","Birganj Women S College  Dinajpur","Day","Bangla","Science","Female","1.00","1.00","150"
"Dinajpur","Birganj","120125","Birganj Women S College  Dinajpur","Day","Bangla","Business Studies","Female","1.00","1.00","150"
"Dinajpur","Birganj","120125","Birganj Women S College  Dinajpur","Day","Bangla","Humanities","Female","1.00","1.00","210"
"Dinajpur","Birganj","120126","Birgonj T. B. M. College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","120126","Birgonj T. B. M. College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","120126","Birgonj T. B. M. College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","120131","Dalua High School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","120131","Dalua High School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","120131","Dalua High School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","120128","Golapganj College","Day","Bangla","Humanities","Co-Edu","1.50","1.00","200"
"Dinajpur","Birganj","120128","Golapganj College","Day","Bangla","Science","Co-Edu","2.50","1.00","150"
"Dinajpur","Birganj","120128","Golapganj College","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","150"
"Dinajpur","Birganj","120129","Jharbari College  Dinajpur","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","120129","Jharbari College  Dinajpur","Day","Bangla","Humanities","Co-Edu","1.00","1.00","220"
"Dinajpur","Birganj","120129","Jharbari College  Dinajpur","Day","Bangla","Science","Co-Edu","2.50","1.00","150"
"Dinajpur","Birganj","135416","Kabiraj Hat College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","135416","Kabiraj Hat College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","135416","Kabiraj Hat College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","120130","Naopara School And College  Dinajpur","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","120130","Naopara School And College  Dinajpur","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","120130","Naopara School And College  Dinajpur","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Birganj","135294","Palash Bari M.S.Gopal Model College","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","150"
"Dinajpur","Birganj","135294","Palash Bari M.S.Gopal Model College","Day","Bangla","Science","Co-Edu","2.50","1.00","150"
"Dinajpur","Birganj","135294","Palash Bari M.S.Gopal Model College","Day","Bangla","Humanities","Co-Edu","1.50","1.00","150"
"Dinajpur","Birganj","137807","Sonka Adarsha College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","50"
"Dinajpur","Birganj","137807","Sonka Adarsha College","Day","Bangla","Science","Co-Edu","1.00","1.00","50"
"Dinajpur","Birganj","137807","Sonka Adarsha College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","100"
"Dinajpur","Bochaganj","120268","Deogaon Bokultala College","Day","Bangla","Science","Co-Edu","3.00","1.00","150"
"Dinajpur","Bochaganj","120268","Deogaon Bokultala College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","170"
"Dinajpur","Bochaganj","120268","Deogaon Bokultala College","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","150"
"Dinajpur","Bochaganj","120272","Haji Danesh College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Bochaganj","120272","Haji Danesh College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Bochaganj","120272","Haji Danesh College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Bochaganj","120269","Hat Rampur College","Day","Bangla","Science","Co-Edu","3.00","1.00","150"
"Dinajpur","Bochaganj","120269","Hat Rampur College","Day","Bangla","Humanities","Co-Edu","1.25","1.00","150"
"Dinajpur","Bochaganj","120269","Hat Rampur College","Day","Bangla","Business Studies","Co-Edu","2.50","1.00","150"
"Dinajpur","Bochaganj","120271","Maherpur College","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","150"
"Dinajpur","Bochaganj","120271","Maherpur College","Day","Bangla","Science","Co-Edu","2.50","1.00","150"
"Dinajpur","Bochaganj","120271","Maherpur College","Day","Bangla","Humanities","Co-Edu","1.25","1.00","150"
"Dinajpur","Bochaganj","120267","Setabganj Govt.College","Day","Bangla","Humanities","Co-Edu","1.50","1.00","300"
"Dinajpur","Bochaganj","120267","Setabganj Govt.College","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","150"
"Dinajpur","Bochaganj","120267","Setabganj Govt.College","Day","Bangla","Science","Co-Edu","3.00","1.00","150"
"Dinajpur","Bochaganj","120270","Setabgonj Women S College","Day","Bangla","Business Studies","Female","1.00","1.00","150"
"Dinajpur","Bochaganj","120270","Setabgonj Women S College","Day","Bangla","Science","Female","2.00","1.00","150"
"Dinajpur","Bochaganj","120270","Setabgonj Women S College","Day","Bangla","Humanities","Female","1.00","1.00","180"
"Dinajpur","Chirirbandar","120390","Ambari Women S College","Day","Bangla","Humanities","Female","1.00","1.00","150"
"Dinajpur","Chirirbandar","120390","Ambari Women S College","Day","Bangla","Business Studies","Female","1.00","1.00","150"
"Dinajpur","Chirirbandar","120390","Ambari Women S College","Day","Bangla","Science","Female","1.00","1.00","150"
"Dinajpur","Chirirbandar","120950","Amena-Baki- Residential Model School And College","Day","Bangla","Humanities","Co-Edu","5.00","5.00","100"
"Dinajpur","Chirirbandar","120950","Amena-Baki- Residential Model School And College","Day","Bangla","Business Studies","Co-Edu","5.00","5.00","100"
"Dinajpur","Chirirbandar","120950","Amena-Baki- Residential Model School And College","Day","Bangla","Science","Co-Edu","4.70","4.70","180"
"Dinajpur","Chirirbandar","120397","Binnya Kuri College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Chirirbandar","120397","Binnya Kuri College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Dinajpur","Chirirbandar","120397","Binnya Kuri College","Day","Bangla","Science","Co-Edu","1.00","1.00","150"
"Dinajpur","Chirirbandar","120391","Chirir Bandar Govt. College","Day","Bangla","Science","Co-Edu","1.00","1.00","160"
"Dinajpur","Chirirbandar","120391","Chirir Bandar Govt. College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","150"
"Dinajpur","Chirirbandar","120391","Chirir Bandar Govt. College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","160"
"Dinajpur","Chirirbandar","120392","Chirirbandar Women S College","Day","Bangla","Humanities","Female","1.00","1.00","150"
"Dinajpur","Chirirbandar","120392","Chirirbandar Women S College","Day","Bangla","Business Studies","Female","1.00","1.00","150"
"Dinajpur","Chirirbandar","120392","Chirirbandar Women S College","Day","Bangla","Science","Female","1.00","1.00","150"
"Dinajpur","Chirirbandar","138497","City Residential Model College","Day","Bangla","Science","Co-Edu","3.50","0.00","150"
"Dinajpur","Chirirbandar","138497","City Residential Model College","Day","Bangla","Humanities","Co-Edu","5.00","0.00","100"
"Dinajpur","Chirirbandar","138497","City Residential Model College","Day","Bangla","Business Studies","Co-Edu","5.00","0.00","100"
"Dinajpur","Chirirbandar","120395","Fatejangpur College","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","150"
