"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","Available Seat"
"Bagerhat","Bagerhat Sadar","114757","Bagerhat Ml. Collegiate School","Day","Bangla","Humanities","Co-Edu","2.00","1.00","100"
"Bagerhat","Bagerhat Sadar","114757","Bagerhat Ml. Collegiate School","Day","Bangla","Science","Co-Edu","2.00","1.00","50"
"Bagerhat","Bagerhat Sadar","114757","Bagerhat Ml. Collegiate School","Day","Bangla","Business Studies","Co-Edu","2.00","1.00","50"
"Bagerhat","Bagerhat Sadar","114833","Belayet Hossain College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Bagerhat","Bagerhat Sadar","114833","Belayet Hossain College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","200"
"Bagerhat","Bagerhat Sadar","114833","Belayet Hossain College","Day","Bangla","Science","Co-Edu","2.00","0.00","50"
"Bagerhat","Bagerhat Sadar","114773","Chirulia School And College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","50"
"Bagerhat","Bagerhat Sadar","114773","Chirulia School And College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","100"
"Bagerhat","Bagerhat Sadar","114831","Govt. Girls College  Bagerhat","Day","Bangla","Science","Female","2.50","0.00","150"
"Bagerhat","Bagerhat Sadar","114831","Govt. Girls College  Bagerhat","Day","Bangla","Business Studies","Female","1.00","0.00","100"
"Bagerhat","Bagerhat Sadar","114831","Govt. Girls College  Bagerhat","Day","Bangla","Humanities","Female","1.00","0.00","400"
"Bagerhat","Bagerhat Sadar","114830","Govt. Prafulla Chandra College","Day","Bangla","Business Studies","Co-Edu","3.50","0.00","350"
"Bagerhat","Bagerhat Sadar","114830","Govt. Prafulla Chandra College","Day","Bangla","Humanities","Co-Edu","3.25","0.00","350"
"Bagerhat","Bagerhat Sadar","114830","Govt. Prafulla Chandra College","Day","Bangla","Science","Co-Edu","4.00","0.00","250"
"Bagerhat","Bagerhat Sadar","114767","Jadunath School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Bagerhat","Bagerhat Sadar","114767","Jadunath School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","100"
"Bagerhat","Bagerhat Sadar","114832","Khan Jahan Ali College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Bagerhat","Bagerhat Sadar","114832","Khan Jahan Ali College","Day","Bangla","Science","Co-Edu","1.00","0.00","100"
"Bagerhat","Bagerhat Sadar","114832","Khan Jahan Ali College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Bagerhat","Bagerhat Sadar","114834","Rangdia School And College","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Bagerhat","Bagerhat Sadar","114834","Rangdia School And College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","250"
"Bagerhat","Bagerhat Sadar","114834","Rangdia School And College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","100"
"Bagerhat","Bagerhat Sadar","114837","S.P.C. Kafurpura Higher Secondary School","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","100"
"Bagerhat","Bagerhat Sadar","114837","S.P.C. Kafurpura Higher Secondary School","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Bagerhat","Bagerhat Sadar","114835","Saira Madhudia Collegiate School","Day","Bangla","Humanities","Co-Edu","1.00","1.00","100"
"Bagerhat","Bagerhat Sadar","114835","Saira Madhudia Collegiate School","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","50"
"Bagerhat","Chitalmari","132982","Barobaria Ideal Commerce College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","100"
"Bagerhat","Chitalmari","115023","Govt. Bangabandhu Mohila College","Day","Bangla","Science","Female","3.00","0.00","50"
"Bagerhat","Chitalmari","115023","Govt. Bangabandhu Mohila College","Day","Bangla","Business Studies","Female","2.00","0.00","100"
"Bagerhat","Chitalmari","115023","Govt. Bangabandhu Mohila College","Day","Bangla","Humanities","Female","2.00","0.00","250"
"Bagerhat","Chitalmari","114877","Kalidas Baral Smriti Mohabidyalaya","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","50"
"Bagerhat","Chitalmari","114877","Kalidas Baral Smriti Mohabidyalaya","Day","Bangla","Science","Co-Edu","1.00","1.00","100"
"Bagerhat","Chitalmari","114877","Kalidas Baral Smriti Mohabidyalaya","Day","Bangla","Humanities","Co-Edu","1.00","1.00","200"
"","","","","","","","","","",""
"Bagerhat","Chitalmari","114854","RAHMATPUR COLLEGIATE SCHOOL","Day","Bangla","Humanities","Co-Edu","1.00","1.00","100"
"Bagerhat","Chitalmari","114854","RAHMATPUR COLLEGIATE SCHOOL","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","50"
"Bagerhat","Chitalmari","114876","Sher-E-Bangla College","Day","Bangla","Science","Co-Edu","3.00","1.00","50"
"Bagerhat","Chitalmari","114876","Sher-E-Bangla College","Day","Bangla","Humanities","Co-Edu","2.50","1.00","150"
"Bagerhat","Chitalmari","114876","Sher-E-Bangla College","Day","Bangla","Business Studies","Co-Edu","2.50","1.00","100"
"Bagerhat","Fakirhat","114921","Govt. Fazilatunnesa Mujib Mohilla College","Day","Bangla","Science","Female","2.00","0.00","100"
"Bagerhat","Fakirhat","114921","Govt. Fazilatunnesa Mujib Mohilla College","Day","Bangla","Humanities","Female","1.00","0.00","150"
"Bagerhat","Fakirhat","114921","Govt. Fazilatunnesa Mujib Mohilla College","Day","Bangla","Business Studies","Female","1.00","0.00","100"
"Bagerhat","Fakirhat","114922","Kazi Azahar Ali College  Fakirhat","Day","Bangla","Science","Co-Edu","2.00","0.00","100"
"Bagerhat","Fakirhat","114922","Kazi Azahar Ali College  Fakirhat","Day","Bangla","Humanities","Co-Edu","1.50","0.00","150"
"Bagerhat","Fakirhat","114922","Kazi Azahar Ali College  Fakirhat","Day","Bangla","Business Studies","Co-Edu","1.50","0.00","150"
"Bagerhat","Fakirhat","114902","Lakhpur Alhaz Ambia Ishak Collegiate Girls School","Day","Bangla","Science","Female","3.00","1.00","50"
"Bagerhat","Fakirhat","114902","Lakhpur Alhaz Ambia Ishak Collegiate Girls School","Day","Bangla","Humanities","Female","1.50","1.00","150"
"Bagerhat","Fakirhat","114902","Lakhpur Alhaz Ambia Ishak Collegiate Girls School","Day","Bangla","Business Studies","Female","1.50","1.00","100"
"Bagerhat","Fakirhat","114923","Sahid Smrity Mahavidyalaya","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","200"
"Bagerhat","Fakirhat","114923","Sahid Smrity Mahavidyalaya","Day","Bangla","Science","Co-Edu","2.50","0.00","100"
"Bagerhat","Fakirhat","114923","Sahid Smrity Mahavidyalaya","Day","Bangla","Humanities","Co-Edu","2.00","0.00","275"
"Bagerhat","Fakirhat","114924","Sheikh Helal Uddin Govt. College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","100"
"Bagerhat","Fakirhat","114924","Sheikh Helal Uddin Govt. College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","250"
"Bagerhat","Fakirhat","114924","Sheikh Helal Uddin Govt. College","Day","Bangla","Science","Co-Edu","2.50","0.00","75"
"Bagerhat","Kachua","114952","Govt. Shohid Shaikh Abu Nasser Mohila Degree College","Day","Bangla","Humanities","Female","1.00","0.00","200"
"Bagerhat","Kachua","114952","Govt. Shohid Shaikh Abu Nasser Mohila Degree College","Day","Bangla","Science","Female","1.00","0.00","50"
"Bagerhat","Kachua","114952","Govt. Shohid Shaikh Abu Nasser Mohila Degree College","Day","Bangla","Business Studies","Female","1.00","0.00","100"
"Bagerhat","Kachua","114953","Kachua College","Day","Bangla","Science","Co-Edu","1.50","1.00","100"
"Bagerhat","Kachua","114953","Kachua College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Bagerhat","Kachua","114953","Kachua College","Day","Bangla","Business Studies","Co-Edu","1.50","1.00","50"
"Bagerhat","Mollahat","114984","Jatir Janak Bangabandhu Govt. Mohilla College","Day","Bangla","Humanities","Female","1.00","0.00","100"
"Bagerhat","Mollahat","114984","Jatir Janak Bangabandhu Govt. Mohilla College","Day","Bangla","Business Studies","Female","1.00","0.00","50"
"Bagerhat","Mollahat","114981","Laila Azad College","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
"Bagerhat","Mollahat","114981","Laila Azad College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","100"
"Bagerhat","Mollahat","114981","Laila Azad College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","200"
"Bagerhat","Mollahat","330003","Mollahat Khalilur Rahman College","Day","Bangla","Science","Co-Edu","1.00","0.00","100"
"Bagerhat","Mollahat","330003","Mollahat Khalilur Rahman College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","200"
"Bagerhat","Mollahat","330003","Mollahat Khalilur Rahman College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","560"
"Bagerhat","Mongla","136752","B N School And College  Mongla","Day","Bangla","Business Studies","Co-Edu","3.00","1.00","100"
"Bagerhat","Mongla","136752","B N School And College  Mongla","Day","Bangla","Science","Co-Edu","3.50","1.00","100"
"Bagerhat","Mongla","136752","B N School And College  Mongla","Day","Bangla","Humanities","Co-Edu","2.00","1.00","100"
"Bagerhat","Mongla","114875","Bangabandhu Mohila Govt. College","Day","Bangla","Humanities","Female","1.00","1.00","150"
"Bagerhat","Mongla","114875","Bangabandhu Mohila Govt. College","Day","Bangla","Business Studies","Female","1.00","1.00","50"
"Bagerhat","Mongla","114875","Bangabandhu Mohila Govt. College","Day","Bangla","Science","Female","1.00","1.00","50"
"Bagerhat","Mongla","115022","Digraj Mahavidyalaya","Day","Bangla","Science","Co-Edu","1.00","1.00","100"
"Bagerhat","Mongla","115022","Digraj Mahavidyalaya","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Bagerhat","Mongla","115022","Digraj Mahavidyalaya","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","100"
"Bagerhat","Mongla","114987","Govt. T. A. Faruque School And College","Day","Bangla","Business Studies","Co-Edu","1.00","1.00","100"
"Bagerhat","Mongla","114987","Govt. T. A. Faruque School And College","Day","Bangla","Science","Co-Edu","1.00","1.00","50"
"Bagerhat","Mongla","114987","Govt. T. A. Faruque School And College","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Bagerhat","Mongla","115021","Mongla Govt. College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","250"
"Bagerhat","Mongla","115021","Mongla Govt. College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","250"
"Bagerhat","Mongla","115021","Mongla Govt. College","Day","Bangla","Science","Co-Edu","3.00","0.00","150"
"Bagerhat","Morrelganj","115156","A.R. Khan College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","100"
"Bagerhat","Morrelganj","115156","A.R. Khan College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Bagerhat","Morrelganj","115156","A.R. Khan College","Day","Bangla","Science","Co-Edu","1.00","0.00","50"
