"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","Available Seat"
"Bagerhat","Bagerhat Sadar","114821","Bagdia Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","80"
"Bagerhat","Bagerhat Sadar","114809","Bagerhat Kamil Madrasah","Day","Bangla","Science (Madrasha)","Co-Edu","1.00","1.00","30"
"Bagerhat","Bagerhat Sadar","114809","Bagerhat Kamil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","150"
"Bagerhat","Bagerhat Sadar","114812","Baroipara Si. Fazil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","100"
"Bagerhat","Bagerhat Sadar","114811","Dema Karamatia Fazil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","60"
"Bagerhat","Bagerhat Sadar","114819","Depara Nesaria Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","90"
"Bagerhat","Bagerhat Sadar","114813","K. Hedayetpur Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","60"
"Bagerhat","Bagerhat Sadar","114810","Khanjahan Ali Adarsha Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","120"
"Bagerhat","Bagerhat Sadar","114814","Khanpur Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","50"
"Bagerhat","Bagerhat Sadar","114806","Shatgumbuj Baitush Sharaf Adarsha Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","130"
"Bagerhat","Chitalmari","114871","Borobaria Rahmania Fazil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","70"
"Bagerhat","Chitalmari","114868","Hijla Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","60"
"Bagerhat","Chitalmari","114870","Rahmatpur Fazil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","40"
"Bagerhat","Chitalmari","114869","Shaildah Bagpur Fazil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","60"
"Bagerhat","Fakirhat","114919","Al-Hera Alim Madrasah","Day","Bangla","Science (Madrasha)","Co-Edu","1.00","1.00","30"
"Bagerhat","Fakirhat","114919","Al-Hera Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","100"
"Bagerhat","Fakirhat","114912","Fakirhat Karamotia Fazil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","90"
"Bagerhat","Fakirhat","114914","Khanjahanpur Mohammadia Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","50"
"Bagerhat","Kachua","114949","Char Sonakur Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","80"
"Bagerhat","Kachua","114947","Madhabkathi Ahmadia Fazil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","140"
"Bagerhat","Kachua","114948","Maghiya Chalehia Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","100"
"Bagerhat","Kachua","114946","Tangrakhali Hosainia Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","70"
"Bagerhat","Mollahat","114977","Kahalpur Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","110"
"Bagerhat","Mollahat","114976","Notun Ghoshgati Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","70"
"Bagerhat","Mongla","115010","Alhaz Korban Ali Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","40"
"Bagerhat","Mongla","115011","Chalna Bandar Fazil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","110"
"Bagerhat","Mongla","115017","Madur Palta Neaz Makhdum Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","70"
"Bagerhat","Mongla","115018","Mohsinia Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","150"
"Bagerhat","Morrelganj","115090","Amtali Islamia Kamil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","130"
"Bagerhat","Morrelganj","115090","Amtali Islamia Kamil Madrasah","Day","Bangla","Science (Madrasha)","Co-Edu","1.00","1.00","20"
"Bagerhat","Morrelganj","115113","Darul Quran Islamia Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","60"
"Bagerhat","Morrelganj","115104","Gulishakhali Fazil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","130"
"Bagerhat","Morrelganj","115129","Guljia Islamia Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","80"
"","","","","","","","","","",""
"Bagerhat","Morrelganj","115124","Habibullah Abad Islamia Siddiquia Nesaria Salehia Kamil Mad.","Day","Bangla","General","Co-Edu","1.00","1.00","20"
"Bagerhat","Morrelganj","115112","K. M. Boulpur Islamia Alim Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","70"
"Bagerhat","Morrelganj","115107","Morelganj Latifia Fazil Madrasah","Day","Bangla","General","Co-Edu","1.00","1.00","150"
