District,Thana,EIIN,College Name,Shift,Version,Group Name,Gender,Min GPA,Own GPA,Available Seat
Bogura,Adamdighi,119160,adam dighi rahim uddin college,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Bogura,Adamdighi,119160,adam dighi rahim uddin college,Day,Bangla,Humanities,Co-Edu,1.00,1.00,210
Bogura,Adamdighi,119160,adam dighi rahim uddin college,Day,Bangla,Science,Co-Edu,1.00,1.00,150
Bogura,Adamdighi,119163,adamdighi pilot girls high school and college,Day,Bangla,Business Studies,Female,1.00,1.00,150
Bogura,Adamdighi,119163,adamdighi pilot girls high school and college,Day,Bangla,Humanities,Female,1.00,1.00,150
Bogura,Adamdighi,119163,adamdighi pilot girls high school and college,Day,Bangla,Science,Female,1.00,1.00,150
Bogura,Adamdighi,119161,bir bikrom shahid lt. ahsanul haque degree college,Day,Bangla,Humanities,Co-Edu,1.00,1.00,170
Bogura,Adamdighi,119161,bir bikrom shahid lt. ahsanul haque degree college,Day,Bangla,Science,Co-Edu,1.00,1.00,150
Bogura,Adamdighi,119161,bir bikrom shahid lt. ahsanul haque degree college,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Bogura,Adamdighi,119158,hazi tasher ahammad womens college,Day,Bangla,Islamic Studies,Female,1.00,1.00,150
Bogura,Adamdighi,119158,hazi tasher ahammad womens college,Day,Bangla,Business Studies,Female,1.00,1.00,150
Bogura,Adamdighi,119158,hazi tasher ahammad womens college,Day,Bangla,Science,Female,1.00,1.00,150
Bogura,Adamdighi,119158,hazi tasher ahammad womens college,Day,Bangla,Humanities,Female,1.00,1.00,150
Bogura,Adamdighi,119162,jalaluddin ahmed college,Day,Bangla,Science,Co-Edu,1.00,1.00,150
Bogura,Adamdighi,119162,jalaluddin ahmed college,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Bogura,Adamdighi,119162,jalaluddin ahmed college,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Bogura,Adamdighi,119159,nasratpur college,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Bogura,Adamdighi,119159,nasratpur college,Day,Bangla,Islamic Studies,Co-Edu,1.00,1.00,50
Bogura,Adamdighi,119159,nasratpur college,Day,Bangla,Science,Co-Edu,1.00,1.00,150
Bogura,Adamdighi,119159,nasratpur college,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Bogura,Adamdighi,119157,santahar govt. college,Day,Bangla,Science,Co-Edu,3.50,1.00,300
Bogura,Adamdighi,119157,santahar govt. college,Day,Bangla,Humanities,Co-Edu,3.00,1.00,350
Bogura,Adamdighi,119157,santahar govt. college,Day,Bangla,Business Studies,Co-Edu,2.50,1.00,250
Bogura,Adamdighi,119156,santahar womens college,Day,Bangla,Humanities,Female,1.00,1.00,200
Bogura,Adamdighi,119156,santahar womens college,Day,Bangla,Science,Female,1.00,1.00,150
Bogura,Adamdighi,119156,santahar womens college,Day,Bangla,Business Studies,Female,1.00,1.00,150
Bogura,Bogura Sadar,119255,adarsha college  bogra,Day,Bangla,Business Studies,Co-Edu,2.00,1.00,150
Bogura,Bogura Sadar,119255,adarsha college  bogra,Day,Bangla,Humanities,Co-Edu,2.00,1.00,200
Bogura,Bogura Sadar,119255,adarsha college  bogra,Day,Bangla,Science,Co-Edu,3.00,1.00,150
Bogura,Bogura Sadar,119261,armed police batelian public school & college,Day,Bangla,Science,Co-Edu,5.00,5.00,340
,,,,,,,,,,
Bogura,Bogura Sadar,119261,armed police batelian public school & college,Day,Bangla,Business Studies,Co-Edu,2.50,2.50,150
Bogura,Bogura Sadar,119261,armed police batelian public school & college,Day,Bangla,Humanities,Co-Edu,3.00,3.00,150
Bogura,Bogura Sadar,129080,baf shaheen college,Day,Bangla,Science,Co-Edu,5.00,0.00,170
Bogura,Bogura Sadar,139080,baf shaheen college bogura,Day,Bangla,Science,Co-Edu,4.50,3.50,225
Bogura,Bogura Sadar,119263,baghopara shahid danesh uddin school & college,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,80
Bogura,Bogura Sadar,119263,baghopara shahid danesh uddin school & college,Day,Bangla,Humanities,Co-Edu,1.00,1.00,200
Bogura,Bogura Sadar,119263,baghopara shahid danesh uddin school & college,Day,Bangla,Science,Co-Edu,1.00,1.00,80
Bogura,Bogura Sadar,131045,biam laboratory school & college bogura,Day,English,Science,Co-Edu,1.00,1.00,50
Bogura,Bogura Sadar,131045,biam laboratory school & college bogura,Day,English,Humanities,Co-Edu,1.00,1.00,50
Bogura,Bogura Sadar,131045,biam laboratory school & college bogura,Day,Bangla,Science,Co-Edu,1.00,1.00,150
Bogura,Bogura Sadar,131045,biam laboratory school & college bogura,Day,English,Business Studies,Co-Edu,1.00,1.00,50
Bogura,Bogura Sadar,132097,biam model school and college  bogra,Day,Bangla,Business Studies,Co-Edu,3.00,3.00,80
Bogura,Bogura Sadar,132097,biam model school and college  bogra,Day,Bangla,Humanities,Co-Edu,2.50,2.50,80
Bogura,Bogura Sadar,132097,biam model school and college  bogra,Day,Bangla,Science,Co-Edu,5.00,5.00,170
Bogura,Bogura Sadar,119249,bogra college,Day,Bangla,Science,Co-Edu,1.00,1.00,190
Bogura,Bogura Sadar,119249,bogra college,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,170
Bogura,Bogura Sadar,119249,bogra college,Day,Bangla,Humanities,Co-Edu,1.00,1.00,280
Bogura,Bogura Sadar,119262,bogra coronation institute and college,Day,Bangla,Humanities,Co-Edu,1.00,1.00,250
Bogura,Bogura Sadar,119262,bogra coronation institute and college,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Bogura,Bogura Sadar,119262,bogra coronation institute and college,Day,Bangla,Science,Co-Edu,1.00,1.00,150
Bogura,Bogura Sadar,130998,bogra ymca public school & college,Day,Bangla,Humanities,Co-Edu,2.00,2.00,200
Bogura,Bogura Sadar,130998,bogra ymca public school & college,Day,Bangla,Science,Co-Edu,3.00,2.00,200
Bogura,Bogura Sadar,130998,bogra ymca public school & college,Day,Bangla,Business Studies,Co-Edu,2.50,2.00,100
Bogura,Bogura Sadar,132124,bogura government college,Day,Bangla,Humanities,Co-Edu,4.00,1.00,300
Bogura,Bogura Sadar,132124,bogura government college,Day,Bangla,Business Studies,Co-Edu,4.00,1.00,300
Bogura,Bogura Sadar,132124,bogura government college,Day,Bangla,Science,Co-Edu,5.00,1.00,300
Bogura,Bogura Sadar,119175,bogura poura high school and college,Day,Bangla,Science,Co-Edu,1.00,0.00,150
Bogura,Bogura Sadar,119175,bogura poura high school and college,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Bogura,Bogura Sadar,119175,bogura poura high school and college,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,150
Bogura,Bogura Sadar,119256,bogura womens college,Day,Bangla,Business Studies,Female,1.00,1.00,75
Bogura,Bogura Sadar,119256,bogura womens college,Day,Bangla,Humanities,Female,1.00,1.00,225
Bogura,Bogura Sadar,119256,bogura womens college,Day,Bangla,Science,Female,1.00,1.00,150
Bogura,Bogura Sadar,119209,chhoy pukuria girls school and college,Day,Bangla,Humanities,Female,1.00,1.00,150
Bogura,Bogura Sadar,119209,chhoy pukuria girls school and college,Day,Bangla,Business Studies,Female,2.00,1.00,150
Bogura,Bogura Sadar,119209,chhoy pukuria girls school and college,Day,Bangla,Science,Female,2.00,1.00,150
Bogura,Bogura Sadar,136997,cillectorate public school and college,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,100
Bogura,Bogura Sadar,136997,cillectorate public school and college,Day,Bangla,Humanities,Co-Edu,1.00,0.00,100
Bogura,Bogura Sadar,136997,cillectorate public school and college,Day,Bangla,Science,Co-Edu,1.00,0.00,100
Bogura,Bogura Sadar,119330,gohail islamia high school & college,Day,Bangla,Science,Co-Edu,1.00,1.00,175
Bogura,Bogura Sadar,119330,gohail islamia high school & college,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Bogura,Bogura Sadar,119330,gohail islamia high school & college,Day,Bangla,Humanities,Co-Edu,1.00,1.00,325
Bogura,Bogura Sadar,119246,govt. a. h. college  bogra,Day,Bangla,Science,Co-Edu,5.00,1.00,750
