District,Thana,EIIN,College Name,Shift,Version,Group Name,Gender,Min GPA,Own GPA,Available Seat
Habiganj,Ajmiriganj,129325,Ajmirigang College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,500
Habiganj,Ajmiriganj,129325,Ajmirigang College,Day,Bangla,Science,Co-Edu,1.00,0.00,150
Habiganj,Ajmiriganj,129325,Ajmirigang College,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,150
Habiganj,Ajmiriganj,129319,Hazi Abdul Hakim Bhuiyan High School And College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Ajmiriganj,129319,Hazi Abdul Hakim Bhuiyan High School And College,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Habiganj,Ajmiriganj,131953,Paharpur Adarsha College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,250
Habiganj,Ajmiriganj,131953,Paharpur Adarsha College,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,150
Habiganj,Bahubal,129342,ALIF SUBHAN CHOWDHURY GOVT. COLLEGE,Day,Bangla,Humanities,Co-Edu,1.00,0.00,500
Habiganj,Bahubal,129342,ALIF SUBHAN CHOWDHURY GOVT. COLLEGE,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,250
Habiganj,Bahubal,129342,ALIF SUBHAN CHOWDHURY GOVT. COLLEGE,Day,Bangla,Science,Co-Edu,1.00,0.00,150
Habiganj,Bahubal,129343,Bahubal College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,400
Habiganj,Bahubal,129343,Bahubal College,Day,Bangla,Science,Co-Edu,2.50,0.00,150
Habiganj,Bahubal,129343,Bahubal College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Habiganj,Bahubal,129334,Mirpur Girls High School And College,Day,Bangla,Business Studies,Female,1.00,1.00,150
Habiganj,Bahubal,129334,Mirpur Girls High School And College,Day,Bangla,Humanities,Female,1.00,1.00,150
Habiganj,Baniachong,129356,Bakterpur Abul Khayer High School And College,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Habiganj,Baniachong,129356,Bakterpur Abul Khayer High School And College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Baniachong,135388,Baniyachong Ideal College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Habiganj,Baniachong,135388,Baniyachong Ideal College,Day,Bangla,Science,Co-Edu,2.50,0.00,150
Habiganj,Baniachong,135388,Baniyachong Ideal College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Habiganj,Baniachong,129372,JANAB ALI GOVT. COLLEGE,Day,Bangla,Science,Co-Edu,1.00,0.00,150
Habiganj,Baniachong,129372,JANAB ALI GOVT. COLLEGE,Day,Bangla,Humanities,Co-Edu,1.00,0.00,300
Habiganj,Baniachong,129372,JANAB ALI GOVT. COLLEGE,Day,Bangla,Business Studies,Co-Edu,3.00,0.00,150
Habiganj,Baniachong,129360,RATNA HIGH SCHOOL AND COLLEGE,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Baniachong,129373,Shachindra College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,300
Habiganj,Baniachong,129373,Shachindra College,Day,Bangla,Science,Co-Edu,2.50,0.00,200
Habiganj,Baniachong,129373,Shachindra College,Day,Bangla,Humanities,Co-Edu,2.50,0.00,600
Habiganj,Baniachong,135374,Sheikh Shamsul Haque College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Habiganj,Baniachong,135374,Sheikh Shamsul Haque College,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,150
Habiganj,Baniachong,129374,Sufia Motin Mahila College,Day,Bangla,Humanities,Female,2.00,0.00,350
Habiganj,Baniachong,129374,Sufia Motin Mahila College,Day,Bangla,Business Studies,Female,2.00,0.00,150
Habiganj,Baniachong,129374,Sufia Motin Mahila College,Day,Bangla,Science,Female,2.00,0.00,150
Habiganj,Chunarughat,129380,Amuroad High School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Habiganj,Chunarughat,129412,Chunarughat Govt. College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
Habiganj,Chunarughat,129412,Chunarughat Govt. College,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,300
Habiganj,Chunarughat,129412,Chunarughat Govt. College,Day,Bangla,Humanities,Co-Edu,2.50,0.00,450
Habiganj,Chunarughat,129413,Gazipur High School And College,Day,Bangla,Science,Co-Edu,1.00,1.00,150
Habiganj,Chunarughat,129413,Gazipur High School And College,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Habiganj,Chunarughat,129413,Gazipur High School And College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,350
Habiganj,Chunarughat,129384,Masud Chowdhury High School And College,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Habiganj,Chunarughat,129384,Masud Chowdhury High School And College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Chunarughat,129391,Panchash High School And College,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Habiganj,Chunarughat,129391,Panchash High School And College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Habiganj Sadar,134872,Aleya Zahir College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,300
Habiganj,Habiganj Sadar,134872,Aleya Zahir College,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,150
Habiganj,Habiganj Sadar,129447,Brindaban Govt. College,Day,Bangla,Humanities,Co-Edu,3.50,0.00,600
Habiganj,Habiganj Sadar,129447,Brindaban Govt. College,Day,Bangla,Business Studies,Co-Edu,3.50,0.00,
Habiganj,Habiganj Sadar,129447,Brindaban Govt. College,Day,Bangla,Science,Co-Edu,4.00,0.00,300
Habiganj,Habiganj Sadar,137703,Central Creative College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,200
Habiganj,Habiganj Sadar,137703,Central Creative College,Day,Bangla,Science,Co-Edu,1.00,0.00,150
Habiganj,Habiganj Sadar,137703,Central Creative College,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,150
Habiganj,Habiganj Sadar,129449,Habigang Govt. Mohila College,Day,Bangla,Science,Female,3.50,0.00,150
Habiganj,Habiganj Sadar,129449,Habigang Govt. Mohila College,Day,Bangla,Humanities,Female,3.00,0.00,450
Habiganj,Habiganj Sadar,129449,Habigang Govt. Mohila College,Day,Bangla,Business Studies,Female,3.00,0.00,150
Habiganj,Habiganj Sadar,129415,Habiganj High School And College,Day,Bangla,Humanities,Co-Edu,1.50,1.50,400
Habiganj,Habiganj Sadar,135390,Hazi Cherag Ali College,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,150
Habiganj,Habiganj Sadar,135390,Hazi Cherag Ali College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Habiganj,Habiganj Sadar,129416,J. K. And H. K. High School And College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Habiganj Sadar,132021,Kabir Collegiate Academy,Day,Bangla,Humanities,Co-Edu,2.00,1.00,300
Habiganj,Habiganj Sadar,132021,Kabir Collegiate Academy,Day,Bangla,Business Studies,Co-Edu,2.00,1.00,150
Habiganj,Habiganj Sadar,138146,Oxbridge College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Habiganj,Habiganj Sadar,138146,Oxbridge College,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,150
Habiganj,Lakhai,138795,Advocate Md. Abu Zahir Model College,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,150
Habiganj,Lakhai,138795,Advocate Md. Abu Zahir Model College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Habiganj,Lakhai,129458,Bhabanipur High School & College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Lakhai,129462,Lakhai Muktijoddha Degree College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,450
Habiganj,Lakhai,129462,Lakhai Muktijoddha Degree College,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,150
Habiganj,Lakhai,129462,Lakhai Muktijoddha Degree College,Day,Bangla,Science,Co-Edu,1.00,0.00,150
Habiganj,Lakhai,129454,Morakori High School And College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Madhabpur,129470,Chhatiain Bishwanath High School And College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Madhabpur,129475,Choumuhoni Khurshid High School And College,Day,Bangla,Science,Co-Edu,1.00,1.00,150
Habiganj,Madhabpur,129475,Choumuhoni Khurshid High School And College,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Habiganj,Madhabpur,129475,Choumuhoni Khurshid High School And College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Madhabpur,129465,DR. MOHIUDDIN HIGH SCHOOL & COLLEGE,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Madhabpur,129494,Dharmaghar College,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,150
Habiganj,Madhabpur,129494,Dharmaghar College,Day,Bangla,Science,Co-Edu,1.00,0.00,150
Habiganj,Madhabpur,129494,Dharmaghar College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,400
Habiganj,Madhabpur,129471,Jagadisha Pur J. C. High School And College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Habiganj,Madhabpur,129471,Jagadisha Pur J. C. High School And College,Day,Bangla,Business Studies,Co-Edu,1.00,1.00,150
Habiganj,Madhabpur,129493,Moulana Asad Ali Degree College,Day,Bangla,Science,Co-Edu,1.00,0.00,150
Habiganj,Madhabpur,129493,Moulana Asad Ali Degree College,Day,Bangla,Business Studies,Co-Edu,1.00,0.00,180
Habiganj,Madhabpur,129493,Moulana Asad Ali Degree College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,600
Habiganj,Madhabpur,129492,Shahjalal College,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,150
Habiganj,Madhabpur,129492,Shahjalal College,Day,Bangla,Humanities,Co-Edu,2.50,0.00,350
Habiganj,Madhabpur,129492,Shahjalal College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
